Activity Date,Activity Type,Elapsed Time,Distance,Elapsed Time,Moving Time,Distance,Elevation Gain,Elevation Low,Elevation High
"Feb 10, 2016, 8:55:16 PM",Run,2227,8.64,2227,2222,8643.299805,27.22909927,1.899999976,17.29999924
"Feb 12, 2016, 5:29:47 PM",Run,1874,7.36,1874,1869,7366.600098,15.09490013,2.299999952,18
"Feb 15, 2016, 6:41:03 PM",Run,5809,21.56,5809,5800,21559.69922,80.73449707,1,44.5
"Feb 18, 2016, 3:13:54 PM",Run,1171,4.35,1171,1162,4355.799805,39.76300049,2.5,43.09999847
"Feb 18, 2016, 4:21:13 PM",Run,1189,4.38,1189,1178,4380.200195,0,3.099999905,43.59999847
"Feb 21, 2016, 12:07:48 PM",Run,3060,11.55,3060,3043,11550.7998,76.06191254,2.299999952,15.39999962
"Feb 23, 2016, 9:01:32 PM",Run,1506,6.06,1506,1506,6063.399902,14.05830002,3,18
"Feb 25, 2016, 8:58:45 PM",Run,1289,5.21,1289,1285,5216.5,0,2.799999952,13.60000038
"Mar 3, 2016, 9:00:00 PM",Run,5100,18.5,5100,5100,18500,,,
"Mar 4, 2016, 9:23:56 PM",Run,1921,7.8,1921,1917,7802.399902,14.21000004,2,17
"Mar 9, 2016, 11:12:51 AM",Run,3517,13.43,3517,3509,13435.7998,28.51329994,1.600000024,18
"Mar 10, 2016, 6:28:51 PM",Run,420,2.05,420,420,2051.899902,0,1.700000048,6.800000191
"Mar 11, 2016, 6:38:53 PM",Run,7847,27.45,7847,7837,27452.59961,131.6710052,0.899999976,47.40000153
"Mar 15, 2016, 4:08:26 PM",Run,1783,6.81,1783,1779,6818.200195,14.44999981,2.299999952,17.89999962
"Mar 16, 2016, 9:18:43 PM",Run,2262,8.58,2262,2262,8581.900391,48.57059097,0.100000001,15.60000038
"Mar 23, 2016, 9:07:08 PM",Run,1499,5.99,1499,1499,5997.100098,13.875,2.700000048,18
"Mar 25, 2016, 12:37:31 PM",Run,3709,14.14,3709,3685,14148.2002,37.07109833,2.099999905,17.70000076
"Apr 1, 2016, 10:23:47 AM",Ride,6028,38.29,6028,5991,38292.30078,120.7630005,1,59.29999924
"Apr 4, 2016, 4:36:30 PM",Ride,7096,47.91,7096,7063,47918.69922,144.6309967,0.899999976,58.59999847
"Apr 6, 2016, 8:15:01 AM",Ride,9383,61.71,9383,9299,61711.69922,299.5249939,0.899999976,54.59999847
"Apr 10, 2016, 7:17:50 AM",Ride,15293,103.6,15293,15040,103602,363.1059875,0.899999976,75.09999847
"Apr 14, 2016, 7:16:07 AM",Ride,7428,51.02,7428,7421,51024.80078,177.3289948,0.899999976,59.59999847
"Apr 18, 2016, 5:38:06 PM",Run,2874,10.54,2874,2864,10547.2998,26.89870071,0.200000003,18
"Apr 19, 2016, 10:02:07 AM",Run,1603,6.2,1603,1590,6206.600098,14.30840015,2.700000048,18
"Apr 23, 2016, 5:03:09 PM",Run,1502,6,1502,1498,6000.600098,14.62549973,2.900000095,19.79999924
"Apr 22, 2016, 6:30:00 PM",Run,4045,15.61,4045,4045,15610.59961,,,
"Apr 24, 2016, 10:30:00 AM",Run,6270,23.49,6270,6270,23496.40039,,,
"Apr 25, 2016, 8:15:00 AM",Run,1800,6.45,1800,1800,6453.470215,,,
"Apr 27, 2016, 8:17:35 AM",Run,4818,18.23,4818,4803,18238.5,34.04669952,1,20.10000038
"Apr 28, 2016, 7:30:00 AM",Run,2340,9.01,2340,2340,9012.330078,,,
"May 4, 2016, 8:40:00 PM",Run,3793,14.48,3793,3793,14484.09961,,,
"May 5, 2016, 5:03:50 PM",Run,2427,9.75,2427,2424,9754.599609,25.01259995,2,18
"May 6, 2016, 7:50:00 PM",Run,4778,17.22,4778,4778,17220,,,
"May 7, 2016, 4:43:51 PM",Run,1568,6.09,1568,1568,6089.799805,14.41189957,2.599999905,18
"Mar 27, 2016, 9:00:00 AM",Run,8021,29.29,8021,8021,29290.09961,,,
"May 8, 2016, 8:30:00 AM",Run,8546,32.5,8546,8546,32508.69922,,,
"May 9, 2016, 7:45:42 AM",Run,1692,6.12,1692,1688,6121.799805,14.54399967,2.400000095,18
"May 10, 2016, 9:27:25 AM",Run,4879,17.72,4879,4875,17720.5,34.25999832,1,20.10000038
"May 11, 2016, 6:28:44 AM",Run,4211,13.76,4211,3841,13761,38.52000046,1.600000024,18
"May 12, 2016, 7:44:57 AM",Run,5560,19.88,5560,5524,19887.30078,34.77999878,0.400000006,20
"May 13, 2016, 7:08:17 AM",Run,3492,13.09,3492,3439,13097.7002,28.26000023,1.200000048,17.89999962
"May 14, 2016, 7:17:33 AM",Run,1415,5.89,1415,1371,5893.899902,14,2.799999952,17.79999924
"May 15, 2016, 9:43:17 AM",Run,10654,37.13,10654,10500,37136.80078,153.427002,1,47.20000076
"May 19, 2016, 10:17:08 AM",Run,3543,13.77,3543,3502,13774.5,27.81999969,2,17.89999962
"May 21, 2016, 6:22:15 PM",Run,3960,14.73,3960,3938,14732.40039,32.66999817,2.099999905,20
"May 27, 2016, 4:39:39 PM",Run,3635,13.21,3635,3457,13216.2998,28.94000053,0.300000012,17.89999962
"May 28, 2016, 4:32:09 PM",Run,1524,5.87,1524,1524,5876.5,14.56000042,2.700000048,18
"May 29, 2016, 8:54:50 AM",Run,12134,42.4,12134,12134,42399.89844,51.59999847,1.399999976,54.20000076
"May 31, 2016, 6:57:33 PM",Run,1657,5.76,1657,1500,5762.5,16.77330017,0.800000012,18
"Jun 10, 2016, 4:38:24 PM",Run,1519,5.91,1519,1509,5911.399902,17,2.700000048,20
"Jun 15, 2016, 7:11:18 PM",Run,1862,7.22,1862,1846,7227.899902,43.02000046,2.299999952,35.79999924
"Jun 25, 2016, 9:16:41 AM",Hike,23214,25.69,23214,21082,25694.90039,1307.75,192.3999939,1062.099976
"Jun 28, 2016, 6:31:20 PM",Run,3108,11.39,3108,3053,11395,42.43999863,2.200000048,35.90000153
"Jun 30, 2016, 6:17:00 PM",Run,1525,5.71,1525,1513,5711.799805,23.73999977,2.799999952,27.29999924
"Jul 1, 2016, 6:08:14 PM",Run,3551,13.24,3551,3545,13247.09961,35.45999908,1.600000024,27.29999924
"Jul 6, 2016, 6:26:37 PM",Run,4615,16.28,4615,4381,16280.2002,25.94000053,1,27.10000038
"Aug 13, 2016, 4:43:36 PM",Run,1162,4.28,1162,1152,4288.200195,14.28859997,2.400000095,17.5
"Aug 14, 2016, 6:22:27 PM",Run,1606,5.64,1606,1597,5642.799805,23.71999931,3,27.20000076
"Aug 16, 2016, 7:31:44 PM",Run,1797,6.51,1797,1791,6510.299805,24.12669945,1,16.60000038
"Aug 18, 2016, 10:05:24 AM",Run,2899,10.35,2899,2892,10356.7998,24.28000069,0.899999976,16.70000076
"Aug 23, 2016, 9:30:17 AM",Run,1580,5.77,1580,1575,5771.399902,24.15999985,3,27.5
"Aug 24, 2016, 8:50:37 AM",Run,2800,9.7,2800,2611,9700.799805,25.92000008,0.5,17.89999962
"Aug 26, 2016, 1:12:27 PM",Run,1552,5.73,1552,1527,5738.100098,23.86000061,3,27.39999962
"Sep 5, 2016, 1:25:21 PM",Run,1557,5.85,1557,1527,5850.5,24.55999947,2.599999905,27.5
"Sep 7, 2016, 7:30:48 PM",Run,4166,12.98,4166,3795,12988.2002,35.77999878,1.200000048,27.5
"Sep 14, 2016, 6:17:36 AM",Run,4623,16.12,4623,4584,16128.7998,55.04999924,1,35.90000153
"Sep 17, 2016, 4:48:03 PM",Ride,4769,25.62,4769,4037,25622.5,150.0570068,15,94.90000153
"Nov 1, 2016, 1:38:43 PM",Run,1909,6.18,1909,1873,6188.399902,43.56000137,2.200000048,36.09999847
"Nov 3, 2016, 7:55:50 PM",Run,2601,8.61,2601,2584,8618.400391,42.32749939,2.900000095,35.70000076
"Nov 11, 2016, 11:15:17 AM",Run,1957,6.77,1957,1949,6769.799805,12.25669956,3,18.79999924
